sku_id,period,qty_total,category_id
598294111,2025-03-10,0.8982068434548461,672241
598294111,2025-03-17,1.398198059275559,672241
598294111,2025-03-24,0.8981806995871788,672241
598294111,2025-03-31,0.3982386885674605,672241
598294111,2025-04-07,1.398271166137869,672241
598294111,2025-04-14,1.3982857209987285,672241
598294111,2025-04-21,2.8984158421470143,672241
598294111,2025-04-28,1.3984045657432358,672241
598294111,2025-05-05,2.898489466282462,672241
598294111,2025-05-12,1.398510711017922,672241
598294111,2025-05-19,0.8985087098984228,672241
598294111,2025-05-26,0.8984861024888675,672241
598294111,2025-06-02,2.8984804521051264,672241
598294111,2025-06-09,4.398531487602801,672241
598294111,2025-06-16,1.8985473454932373,672241
598302302,2025-03-10,0.48447122475924004,672241
598302302,2025-03-17,-0.01616097121667403,672241
598302302,2025-03-24,-0.016125019101560494,672241
598302302,2025-03-31,-0.016099199742468,672241
598302302,2025-04-07,-0.016076752902574827,672241
598302302,2025-04-14,-0.016053822672614085,672241
598302302,2025-04-21,-0.016028521714021346,672241
598302302,2025-04-28,-0.01600020695390595,672241
598302302,2025-05-05,-0.015968909539387288,672241
598302302,2025-05-12,-0.01593484702910792,672241
598302302,2025-05-19,-0.015898383225245352,672241
598302302,2025-05-26,-0.01579357944794022,672241
598302302,2025-06-02,-0.0157554320653187,672241
598302302,2025-06-09,-0.015717783380810327,672241
598302302,2025-06-16,-0.01568039589860519,672241
599653937,2025-03-10,0.32230176869010374,672241
599653937,2025-03-17,1.322337873581938,672241
599653937,2025-03-24,0.32232785317385293,672241
599653937,2025-03-31,7.8225334207010775,672241
599653937,2025-04-07,0.3225357768057697,672241
599653937,2025-04-14,1.3227118463993397,672241
599653937,2025-04-21,5.3230825493862906,672241
599653937,2025-04-28,11.322730333999953,672241
599653937,2025-05-05,1.3233016527372423,672241
599653937,2025-05-12,3.323200733934125,672241
599653937,2025-05-19,1.3233507875000676,672241
599653937,2025-05-26,0.8233693119126408,672241
599653937,2025-06-02,0.8234532942442507,672241
599653937,2025-06-09,4.323458867301184,672241
599653937,2025-06-16,2.3236118745574217,672241
599703217,2025-03-10,2.5718502086316755,672241
599703217,2025-03-17,1.572551298904595,672241
599703217,2025-03-24,6.564956764902767,672241
599703217,2025-03-31,2.071412360390936,672241
599703217,2025-04-07,10.06606833907558,672241
599703217,2025-04-14,3.5710864705950813,672241
599703217,2025-04-21,3.5644672130838697,672241
599703217,2025-04-28,2.5675798337290656,672241
599703217,2025-05-05,2.0648664919218533,672241
599703217,2025-05-12,3.565013364666851,672241
599703217,2025-05-19,3.5660073271038906,672241
599703217,2025-05-26,4.06355033374666,672241
599703217,2025-06-02,2.063990306991861,672241
599703217,2025-06-09,9.567835751426614,672241
599703217,2025-06-16,9.059762532321999,672241
746436995,2025-03-10,-0.12598220763677076,672241
