sku_id,category_id,period,qty_total
598294111,672241,2024-11-25,0.8141036169155622
598294111,672241,2024-12-02,0.8141619616719366
598294111,672241,2024-12-09,0.8142953267110082
598294111,672241,2024-12-16,0.3143761003141774
598294111,672241,2024-12-23,0.8144662972924932
598294111,672241,2024-12-30,1.3145189486934183
598294111,672241,2025-01-06,0.8144910669591118
598294111,672241,2025-01-13,2.314451087563361
598294111,672241,2025-01-20,3.3145007850748707
598294111,672241,2025-01-27,2.314482878675468
598294111,672241,2025-02-03,1.8144073567589725
598294111,672241,2025-02-10,0.8143882032259651
598294111,672241,2025-02-17,0.8143593668747855
598294111,672241,2025-02-24,0.8142765254235185
598294111,672241,2025-03-03,0.8142299066097338
598302302,672241,2024-11-25,0.05718699406722423
598302302,672241,2024-12-02,0.057192441605524336
598302302,672241,2024-12-09,0.057199709745105916
598302302,672241,2024-12-16,0.057208965523507675
598302302,672241,2024-12-23,0.5573350303392769
598302302,672241,2024-12-30,0.057264775943450585
598302302,672241,2025-01-06,1.0573116550813528
598302302,672241,2025-01-13,0.057360794076741294
598302302,672241,2025-01-20,0.057412263933315305
598302302,672241,2025-01-27,0.05746613052558124
598302302,672241,2025-02-03,0.057522436101627904
598302302,672241,2025-02-10,1.0573516370280418
598302302,672241,2025-02-17,0.05758025166993648
598302302,672241,2025-02-24,0.057581575411134144
598302302,672241,2025-03-03,0.057585557178025826
599653937,672241,2024-11-25,10.45703789964736
599653937,672241,2024-12-02,1.5356255926211688
599653937,672241,2024-12-09,1.6135378896477732
599653937,672241,2024-12-16,1.19032594590984
599653937,672241,2024-12-23,1.2660991053133592
599653937,672241,2024-12-30,1.340836294778261
599653937,672241,2025-01-06,2.4144825332604434
599653937,672241,2025-01-13,2.4871945520278556
599653937,672241,2025-01-20,2.058838645338657
599653937,672241,2025-01-27,6.629699893766977
599653937,672241,2025-02-03,1.6989550842804577
599653937,672241,2025-02-10,3.26745158629319
599653937,672241,2025-02-17,2.335004714200554
599653937,672241,2025-02-24,2.901455913591886
599653937,672241,2025-03-03,2.96697832320473
599703217,672241,2024-11-25,4.365859394058063
599703217,672241,2024-12-02,6.365772570926544
599703217,672241,2024-12-09,3.86567102288489
599703217,672241,2024-12-16,2.86561439439474
599703217,672241,2024-12-23,1.8655248155323534
599703217,672241,2024-12-30,5.3654616294916115
599703217,672241,2025-01-06,2.36541769279488
599703217,672241,2025-01-13,5.365340118668962
599703217,672241,2025-01-20,2.365308246923526
